stop_date,start_date,duration_time,success_time,success_rate,no_of_stacks,result
2018-03-26 05:47:12.246969,2018-03-26 04:40:40.358959,2660,7,0.35,20,0
2018-03-25 06:16:59.246750,2018-03-25 06:06:12.216381,372,0,0,20,0
2018-03-24 08:52:30.446404,2018-03-24 08:41:56.715041,171,0,0,20,0
2018-03-24 06:23:34.279006,2018-03-24 05:11:41.128800,4151,14,0.7,20,0
2018-03-23 18:02:09.189301,2018-03-23 17:58:17.503362,320,0,0,20,0
2018-03-23 08:11:27.078516,2018-03-23 07:05:25.940719,3619,0,0,20,0
2018-03-22 09:53:26.767929,2018-03-22 08:40:26.848006,3631,0,0,20,0
2018-03-22 06:22:04.251967,2018-03-22 06:15:50.536897,125,0,0,20,0
2018-03-21 12:52:26.889959,2018-03-21 12:46:13.347678,125,0,0,20,0
2018-03-19 19:15:27.450096,2018-03-19 18:52:17.534868,249,0,0,20,0
2018-03-18 08:14:07.498454,2018-03-18 08:07:58.861419,880,3,0.15,20,0
2018-03-14 08:35:29.296482,2018-03-14 08:07:58.168899,880,3,0.15,20,0
2018-03-13 13:46:33.604812,2018-03-13 13:30:24.480996,175,0,0,20,0
2018-03-12 11:27:33.441562,2018-03-12 11:04:14.962586,786,6,0.3,20,0
2018-03-11 11:24:17.675366,2018-03-11 11:06:14.552448,882,0,0,20,0
2018-03-11 07:19:00.407853,2018-03-11 07:05:33.217535,225,20,1,20,1
2018-03-11 07:07:46.543695,2018-03-11 06:44:27.168159,939,0,0,20,0
2018-03-10 09:34:04.475374,2018-03-10 09:10:04.303312,941,0,0,20,0
2018-03-10 08:39:47.917341,2018-03-10 08:15:04.692889,896,4,0.2,20,0
2018-03-09 11:28:43.721533,2018-03-09 11:13:40.505828,175,0,0,20,0
2018-03-09 09:00:24.761357,2018-03-09 08:43:03.298697,247,20,1,20,1
2018-03-09 02:56:23.917400,2018-03-09 02:32:11.196395,705,3,0.15,20,0
2018-03-08 12:12:26.751008,2018-03-08 11:57:33.671766,362,2,0.1,20,0
2018-03-07 09:34:04.032903,2018-03-07 09:16:07.496903,280,0,0,20,0
2018-03-07 09:02:01.212077,2018-03-07 08:42:07.356304,266,20,1,20,1
2018-03-06 10:21:19.880060,2018-03-06 10:05:36.227074,379,3,0.15,20,0
2018-03-05 05:40:10.198733,2018-03-05 05:04:40.148507,259,1,0.05,20,0
2018-03-04 08:59:47.039081,2018-03-04 08:44:47.945742,387,6,0.3,20,0
2018-03-04 05:53:46.099133,2018-03-04 05:36:08.236581,547,1,0.05,20,0
2018-03-03 19:01:09.682572,2018-03-03 18:52:25.105395,249,0,0,20,0
2018-03-03 14:15:48.677555,2018-03-03 13:05:00.828191,3740,0,0,20,0
2018-03-03 08:35:15.642554,2018-03-03 08:11:31.144828,272,20,1,20,1
2018-03-01 18:57:07.196732,2018-03-01 18:40:35.382974,221,20,1,20,1
